# Multisine Signal Data
# fmin_desired: 4.000000 Hz
# fmax_desired: 800.000000 Hz
# fmin: 4.000000 Hz
# fmax: 800.000000 Hz
# fs: 8000.000000 Hz
# df: 1.000000 Hz
# df_des: 1.000000 Hz
# N: 2000
# K: 797
# Crest Factor: 2.551366
# Columns: Time_s, Signal
Time_s,Signal
0.0000000000e+00,-2.2215834914e-01
1.2500000000e-04,-2.1186450918e-01
2.5000000000e-04,-1.7189340642e-01
3.7500000000e-04,-1.2580779798e-01
5.0000000000e-04,-9.2658105408e-02
6.2500000000e-04,-7.8438938222e-02
7.5000000000e-04,-7.3172362283e-02
8.7500000000e-04,-5.4876201974e-02
1.0000000000e-03,1.0481529059e-03
1.1250000000e-03,1.1065869439e-01
1.2500000000e-03,2.7298214294e-01
1.3750000000e-03,4.6768435338e-01
1.5000000000e-03,6.6006954888e-01
1.6250000000e-03,8.1174857083e-01
1.7500000000e-03,8.9308214007e-01
1.8750000000e-03,8.9274513859e-01
2.0000000000e-03,8.2079351294e-01
2.1250000000e-03,7.0407366132e-01
2.2500000000e-03,5.7576032899e-01
2.3750000000e-03,4.6309974774e-01
2.5000000000e-03,3.7815951492e-01
2.6250000000e-03,3.1522817842e-01
2.7500000000e-03,2.5587933042e-01
2.8750000000e-03,1.7961879267e-01
3.0000000000e-03,7.5683476475e-02
3.1250000000e-03,-4.9084282969e-02
3.2500000000e-03,-1.6998124584e-01
3.3750000000e-03,-2.5255520679e-01
3.5000000000e-03,-2.6641806890e-01
3.6250000000e-03,-1.9953543511e-01
3.7500000000e-03,-6.7118892167e-02
3.8750000000e-03,8.9130019586e-02
4.0000000000e-03,2.1227493495e-01
4.1250000000e-03,2.4877140789e-01
4.2500000000e-03,1.6825995558e-01
4.3750000000e-03,-2.2645973421e-02
4.5000000000e-03,-2.7812370891e-01
4.6250000000e-03,-5.2424822671e-01
4.7500000000e-03,-6.8061281941e-01
4.8750000000e-03,-6.8577924903e-01
5.0000000000e-03,-5.1819747838e-01
5.1250000000e-03,-2.0541368430e-01
5.2500000000e-03,1.8190939948e-01
5.3750000000e-03,5.4963818703e-01
