# Multisine Signal Data
# fmin_desired: 5.000000 Hz
# fmax_desired: 500.000000 Hz
# fmin: 5.000000 Hz
# fmax: 500.000000 Hz
# fs: 5000.000000 Hz
# df: 1.000000 Hz
# df_des: 1.000000 Hz
# N: 1000
# K: 496
# Crest Factor: 1.709223
# Columns: Time_s, Signal
Time_s,Signal
0.0000000000e+00,2.7829103381e+00
2.0000000000e-04,2.4030245406e+00
4.0000000000e-04,1.8385343764e+00
6.0000000000e-04,1.2274837888e+00
8.0000000000e-04,7.1621378804e-01
1.0000000000e-03,4.1880001054e-01
1.2000000000e-03,3.8849557271e-01
1.4000000000e-03,6.0928667079e-01
1.6000000000e-03,1.0086429917e+00
1.8000000000e-03,1.4855141131e+00
2.0000000000e-03,1.9430300075e+00
2.2000000000e-03,2.3147007618e+00
2.4000000000e-03,2.5762071231e+00
2.6000000000e-03,2.7407294777e+00
2.8000000000e-03,2.8419060653e+00
3.0000000000e-03,2.9126632028e+00
3.2000000000e-03,2.9688838681e+00
3.4000000000e-03,3.0040926025e+00
3.6000000000e-03,2.9962945428e+00
3.8000000000e-03,2.9228986257e+00
4.0000000000e-03,2.7763628355e+00
4.2000000000e-03,2.5730944218e+00
4.4000000000e-03,2.3511952124e+00
4.6000000000e-03,2.1575649015e+00
4.8000000000e-03,2.0296186739e+00
5.0000000000e-03,1.9794634494e+00
5.2000000000e-03,1.9876935316e+00
5.4000000000e-03,2.0102129161e+00
5.6000000000e-03,1.9961264866e+00
5.8000000000e-03,1.9099218680e+00
6.0000000000e-03,1.7488945171e+00
6.2000000000e-03,1.5481010024e+00
6.4000000000e-03,1.3697031341e+00
6.6000000000e-03,1.2797172866e+00
6.8000000000e-03,1.3205331574e+00
7.0000000000e-03,1.4899408732e+00
7.2000000000e-03,1.7356927756e+00
7.4000000000e-03,1.9692536565e+00
7.6000000000e-03,2.0952280400e+00
7.8000000000e-03,2.0466464920e+00
8.0000000000e-03,1.8132998463e+00
8.2000000000e-03,1.4519485445e+00
8.4000000000e-03,1.0731407079e+00
8.6000000000e-03,8.0757278077e-01
8.8000000000e-03,7.6251096621e-01
9.0000000000e-03,9.8296095536e-01
9.2000000000e-03,1.4313743656e+00
9.4000000000e-03,1.9938467303e+00
9.6000000000e-03,2.5119151914e+00
9.8000000000e-03,2.8302590490e+00
1.0000000000e-02,2.8449506745e+00
1.0200000000e-02,2.5364399696e+00
1.0400000000e-02,1.9764105706e+00
1.0600000000e-02,1.3063336415e+00
1.0800000000e-02,6.9495352669e-01
1.1000000000e-02,2.8880244159e-01
1.1200000000e-02,1.7180310283e-01
1.1400000000e-02,3.4647048706e-01
1.1600000000e-02,7.4151049694e-01
1.1800000000e-02,1.2415292003e+00
1.2000000000e-02,1.7273366795e+00
1.2200000000e-02,2.1124432941e+00
1.2400000000e-02,2.3636709249e+00
1.2600000000e-02,2.5003015098e+00
1.2800000000e-02,2.5743383511e+00
1.3000000000e-02,2.6412121644e+00
1.3200000000e-02,2.7331816359e+00
1.3400000000e-02,2.8458162061e+00
1.3600000000e-02,2.9421862920e+00
1.3800000000e-02,2.9720563992e+00
1.4000000000e-02,2.8973577993e+00
1.4200000000e-02,2.7128289040e+00
1.4400000000e-02,2.4528325943e+00
1.4600000000e-02,2.1811051112e+00
1.4800000000e-02,1.9672624631e+00
1.5000000000e-02,1.8594704249e+00
1.5200000000e-02,1.8645310564e+00
1.5400000000e-02,1.9439616253e+00
1.5600000000e-02,2.0284230525e+00
1.5800000000e-02,2.0454886943e+00
1.6000000000e-02,1.9501259104e+00
1.6200000000e-02,1.7456715262e+00
1.6400000000e-02,1.4862821375e+00
1.6600000000e-02,1.2587485135e+00
1.6800000000e-02,1.1496217472e+00
1.7000000000e-02,1.2097187180e+00
1.7200000000e-02,1.4298075702e+00
1.7400000000e-02,1.7377673484e+00
1.7600000000e-02,2.0198851262e+00
1.7800000000e-02,2.1599200882e+00
1.8000000000e-02,2.0824762567e+00
1.8200000000e-02,1.7848222296e+00
1.8400000000e-02,1.3446633471e+00
1.8600000000e-02,8.9949116757e-01
1.8800000000e-02,6.0320408206e-01
1.9000000000e-02,5.7410947833e-01
1.9200000000e-02,8.5208264628e-01
1.9400000000e-02,1.3801161466e+00
1.9600000000e-02,2.0174977929e+00
1.9800000000e-02,2.5811309280e+00
2.0000000000e-02,2.9018019893e+00
2.0200000000e-02,2.8769375364e+00
2.0400000000e-02,2.5024585332e+00
2.0600000000e-02,1.8733854547e+00
2.0800000000e-02,1.1534114339e+00
2.1000000000e-02,5.2404340811e-01
2.1200000000e-02,1.3049964754e-01
2.1400000000e-02,4.2105827592e-02
2.1600000000e-02,2.3937182560e-01
2.1800000000e-02,6.3034475841e-01
2.2000000000e-02,1.0886984044e+00
2.2200000000e-02,1.4989346987e+00
2.2400000000e-02,1.7924627543e+00
2.2600000000e-02,1.9625775499e+00
2.2800000000e-02,2.0547425866e+00
2.3000000000e-02,2.1378897596e+00
2.3200000000e-02,2.2692300298e+00
2.3400000000e-02,2.4668852398e+00
2.3600000000e-02,2.7009720868e+00
2.3800000000e-02,2.9061289627e+00
2.4000000000e-02,3.0098720288e+00
2.4200000000e-02,2.9649126697e+00
2.4400000000e-02,2.7720432962e+00
