# Multisine Signal Data
# fmin_desired: 5.000000 Hz
# fmax_desired: 50.000000 Hz
# fmin: 5.000000 Hz
# fmax: 50.000000 Hz
# fs: 500.000000 Hz
# df: 1.000000 Hz
# df_des: 1.000000 Hz
# N: 100
# K: 46
# Crest Factor: 1.640119
# Columns: Time_s, Signal
Time_s,Signal
0.0000000000e+00,3.1873880938e+00
2.0000000000e-03,2.6828649831e+00
4.0000000000e-03,1.9085823414e+00
6.0000000000e-03,1.0653186863e+00
8.0000000000e-03,3.7189249225e-01
1.0000000000e-02,0.0000000000e+00
1.2000000000e-02,2.5771842872e-02
1.4000000000e-02,4.1334486087e-01
1.6000000000e-02,1.0345590434e+00
1.8000000000e-02,1.7165040005e+00
2.0000000000e-02,2.2994420717e+00
2.2000000000e-02,2.6848258896e+00
2.4000000000e-02,2.8575700335e+00
2.6000000000e-02,2.8766640448e+00
2.8000000000e-02,2.8399045547e+00
3.0000000000e-02,2.8376800201e+00
3.2000000000e-02,2.9140733126e+00
3.4000000000e-02,3.0499716370e+00
3.6000000000e-02,3.1738837749e+00
3.8000000000e-02,3.1952458614e+00
4.0000000000e-02,3.0463028173e+00
4.2000000000e-02,2.7154475103e+00
4.4000000000e-02,2.2583434545e+00
4.6000000000e-02,1.7818852755e+00
4.8000000000e-02,1.4067053652e+00
5.0000000000e-02,1.2224363005e+00
5.2000000000e-02,1.2530283538e+00
5.4000000000e-02,1.4458897613e+00
5.6000000000e-02,1.6897589736e+00
5.8000000000e-02,1.8553476662e+00
6.0000000000e-02,1.8440036914e+00
6.2000000000e-02,1.6262715211e+00
6.4000000000e-02,1.2556033621e+00
6.6000000000e-02,8.5141515197e-01
6.8000000000e-02,5.5692666646e-01
7.0000000000e-02,4.8663754457e-01
7.2000000000e-02,6.8238796301e-01
7.4000000000e-02,1.0941889678e+00
7.6000000000e-02,1.5933438760e+00
7.8000000000e-02,2.0139297387e+00
8.0000000000e-02,2.2085861434e+00
8.2000000000e-02,2.0993931505e+00
8.4000000000e-02,1.7062334169e+00
8.6000000000e-02,1.1428060936e+00
8.8000000000e-02,5.8158575278e-01
9.0000000000e-02,1.9954798233e-01
9.2000000000e-02,1.2275531561e-01
9.4000000000e-02,3.8784396131e-01
9.6000000000e-02,9.3228782442e-01
9.8000000000e-02,1.6153911097e+00
1.0000000000e-01,2.2618474706e+00
1.0200000000e-01,2.7128798396e+00
1.0400000000e-01,2.8685904993e+00
1.0600000000e-01,2.7093276167e+00
1.0800000000e-01,2.2917731734e+00
1.1000000000e-01,1.7240527740e+00
1.1200000000e-01,1.1304146313e+00
1.1400000000e-01,6.1796326424e-01
1.1600000000e-01,2.5532737055e-01
1.1800000000e-01,6.7435941856e-02
1.2000000000e-01,4.4226004156e-02
1.2200000000e-01,1.5656260944e-01
1.2400000000e-01,3.7142749099e-01
1.2600000000e-01,6.6058238476e-01
1.2800000000e-01,1.0011302359e+00
1.3000000000e-01,1.3706466555e+00
1.3200000000e-01,1.7419607215e+00
1.3400000000e-01,2.0822933019e+00
1.3600000000e-01,2.3586674152e+00
1.3800000000e-01,2.5477271376e+00
1.4000000000e-01,2.6451979103e+00
1.4200000000e-01,2.6696383119e+00
1.4400000000e-01,2.6572582186e+00
1.4600000000e-01,2.6485497790e+00
1.4800000000e-01,2.6715409521e+00
1.5000000000e-01,2.7287394775e+00
1.5200000000e-01,2.7940853455e+00
1.5400000000e-01,2.8225307615e+00
1.5600000000e-01,2.7695866372e+00
1.5800000000e-01,2.6134815455e+00
1.6000000000e-01,2.3705628213e+00
1.6200000000e-01,2.0963486142e+00
1.6400000000e-01,1.8698223734e+00
1.6600000000e-01,1.7653012415e+00
1.6800000000e-01,1.8218652976e+00
1.7000000000e-01,2.0224924913e+00
1.7200000000e-01,2.2925151654e+00
1.7400000000e-01,2.5203962802e+00
1.7600000000e-01,2.5953863134e+00
1.7800000000e-01,2.4495214374e+00
1.8000000000e-01,2.0885234671e+00
1.8200000000e-01,1.5989013972e+00
1.8400000000e-01,1.1263064924e+00
1.8600000000e-01,8.3038558104e-01
1.8800000000e-01,8.3036296470e-01
1.9000000000e-01,1.1599581573e+00
1.9200000000e-01,1.7481454157e+00
1.9400000000e-01,2.4341114148e+00
1.9600000000e-01,3.0132348101e+00
1.9800000000e-01,3.3000000000e+00
